//Еда
γρασίδι|трава

//Искусство
τέχνη|искусство
πολιτισμός|культура
μουσική|музыка
λέξη|слово
γράμμα|буква
βιβλίο|книга
ταινία|фильм
κείμενο|текст

//Другое
φωτιά|огонь
ζωή|жизнь
χρόνος|время
ταξίδι|путешествие
τιμή|цена
συζήτηση|беседа
φοιτητής|студент
γάμο|брак, свадьба
νύφη|невеста
νυφικό|свадебное платье
πρωινό|завтрак
μεσημεριανό|обед
βραδινό|ужин
άνθρωπος|человек
χωρίς|без
χώρα|страна
προγραμματηστής|программист|200
αλλά|но
συνεργάτης|коллега
χαρά|радость
